Country Name,"Country Code","Series Name","Series Code","Time","Time Code","Value"
Afghanistan,"AFG","Control of Corruption: Estimate","CC.EST","2018","YR2018","-1.496834"
Afghanistan,"AFG","Control of Corruption: Estimate","CC.EST","2019","YR2019","-1.401076"
Afghanistan,"AFG","Government Effectiveness: Estimate","GE.EST","2018","YR2018","-1.457285"
Afghanistan,"AFG","Government Effectiveness: Estimate","GE.EST","2019","YR2019","-1.463875"
Afghanistan,"AFG","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","2018","YR2018","-2.751611"
Afghanistan,"AFG","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","2019","YR2019","-2.649407"
Afghanistan,"AFG","Regulatory Quality: Estimate","RQ.EST","2018","YR2018","-1.130191"
Afghanistan,"AFG","Regulatory Quality: Estimate","RQ.EST","2019","YR2019","-1.120555"
Afghanistan,"AFG","Rule of Law: Estimate","RL.EST","2018","YR2018","-1.668021"
Afghanistan,"AFG","Rule of Law: Estimate","RL.EST","2019","YR2019","-1.713527"
Afghanistan,"AFG","Voice and Accountability: Estimate","VA.EST","2018","YR2018","-0.9929534"
Afghanistan,"AFG","Voice and Accountability: Estimate","VA.EST","2019","YR2019","-0.9880323"
Albania,"ALB","Control of Corruption: Estimate","CC.EST","2018","YR2018","-0.5219214"
Albania,"ALB","Control of Corruption: Estimate","CC.EST","2019","YR2019","-0.5287576"
Albania,"ALB","Government Effectiveness: Estimate","GE.EST","2018","YR2018","0.114788"
Albania,"ALB","Government Effectiveness: Estimate","GE.EST","2019","YR2019","-0.0613309"
Albania,"ALB","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","2018","YR2018","0.3783375"
Albania,"ALB","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","2019","YR2019","0.1185695"
Albania,"ALB","Regulatory Quality: Estimate","RQ.EST","2018","YR2018","0.2684412"
Albania,"ALB","Regulatory Quality: Estimate","RQ.EST","2019","YR2019","0.2743798"
Albania,"ALB","Rule of Law: Estimate","RL.EST","2018","YR2018","-0.3923339"
Albania,"ALB","Rule of Law: Estimate","RL.EST","2019","YR2019","-0.4111794"
Albania,"ALB","Voice and Accountability: Estimate","VA.EST","2018","YR2018","0.2076107"
Albania,"ALB","Voice and Accountability: Estimate","VA.EST","2019","YR2019","0.1518047"
Algeria,"DZA","Control of Corruption: Estimate","CC.EST","2018","YR2018","-0.6301624"
Algeria,"DZA","Control of Corruption: Estimate","CC.EST","2019","YR2019","-0.6218498"
Algeria,"DZA","Government Effectiveness: Estimate","GE.EST","2018","YR2018","-0.4439246"
Algeria,"DZA","Government Effectiveness: Estimate","GE.EST","2019","YR2019","-0.5161746"
Algeria,"DZA","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","2018","YR2018","-0.8265918"
Algeria,"DZA","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","2019","YR2019","-1.003575"
Algeria,"DZA","Regulatory Quality: Estimate","RQ.EST","2018","YR2018","-1.26254"
Algeria,"DZA","Regulatory Quality: Estimate","RQ.EST","2019","YR2019","-1.303379"
Algeria,"DZA","Rule of Law: Estimate","RL.EST","2018","YR2018","-0.7752355"
Algeria,"DZA","Rule of Law: Estimate","RL.EST","2019","YR2019","-0.8154638"
Algeria,"DZA","Voice and Accountability: Estimate","VA.EST","2018","YR2018","-0.9816775"
Algeria,"DZA","Voice and Accountability: Estimate","VA.EST","2019","YR2019","-1.037679"
American Samoa,"ASM","Control of Corruption: Estimate","CC.EST","2018","YR2018","1.845798"
American Samoa,"ASM","Control of Corruption: Estimate","CC.EST","2019","YR2019","1.843883"
American Samoa,"ASM","Government Effectiveness: Estimate","GE.EST","2018","YR2018","0.5514148"
American Samoa,"ASM","Government Effectiveness: Estimate","GE.EST","2019","YR2019","0.5425926"
American Samoa,"ASM","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","2018","YR2018","1.202961"
American Samoa,"ASM","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","2019","YR2019","1.16038"
American Samoa,"ASM","Regulatory Quality: Estimate","RQ.EST","2018","YR2018","-0.2859632"
American Samoa,"ASM","Regulatory Quality: Estimate","RQ.EST","2019","YR2019","-0.2996051"
American Samoa,"ASM","Rule of Law: Estimate","RL.EST","2018","YR2018","1.363119"
American Samoa,"ASM","Rule of Law: Estimate","RL.EST","2019","YR2019","1.335098"
American Samoa,"ASM","Voice and Accountability: Estimate","VA.EST","2018","YR2018","NA"
American Samoa,"ASM","Voice and Accountability: Estimate","VA.EST","2019","YR2019","NA"
Andorra,"AND","Control of Corruption: Estimate","CC.EST","2018","YR2018","1.238797"
Andorra,"AND","Control of Corruption: Estimate","CC.EST","2019","YR2019","1.234392"
Andorra,"AND","Government Effectiveness: Estimate","GE.EST","2018","YR2018","1.944976"
Andorra,"AND","Government Effectiveness: Estimate","GE.EST","2019","YR2019","1.908749"
Andorra,"AND","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","2018","YR2018","1.423969"
Andorra,"AND","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","2019","YR2019","1.615139"
Andorra,"AND","Regulatory Quality: Estimate","RQ.EST","2018","YR2018","1.193829"
Andorra,"AND","Regulatory Quality: Estimate","RQ.EST","2019","YR2019","1.228176"
Andorra,"AND","Rule of Law: Estimate","RL.EST","2018","YR2018","1.606789"
Andorra,"AND","Rule of Law: Estimate","RL.EST","2019","YR2019","1.579939"
Andorra,"AND","Voice and Accountability: Estimate","VA.EST","2018","YR2018","1.069697"
Andorra,"AND","Voice and Accountability: Estimate","VA.EST","2019","YR2019","1.139154"
Angola,"AGO","Control of Corruption: Estimate","CC.EST","2018","YR2018","-1.144679"
Angola,"AGO","Control of Corruption: Estimate","CC.EST","2019","YR2019","-1.054683"
Angola,"AGO","Government Effectiveness: Estimate","GE.EST","2018","YR2018","-1.052086"
Angola,"AGO","Government Effectiveness: Estimate","GE.EST","2019","YR2019","-1.117144"
Angola,"AGO","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","2018","YR2018","-0.3166307"
Angola,"AGO","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","2019","YR2019","-0.3111005"
Angola,"AGO","Regulatory Quality: Estimate","RQ.EST","2018","YR2018","-0.8750386"
Angola,"AGO","Regulatory Quality: Estimate","RQ.EST","2019","YR2019","-0.8938714"
Angola,"AGO","Rule of Law: Estimate","RL.EST","2018","YR2018","-1.047832"
Angola,"AGO","Rule of Law: Estimate","RL.EST","2019","YR2019","-1.054343"
Angola,"AGO","Voice and Accountability: Estimate","VA.EST","2018","YR2018","-0.9183374"
Angola,"AGO","Voice and Accountability: Estimate","VA.EST","2019","YR2019","-0.7772832"
Anguilla,"AIA","Control of Corruption: Estimate","CC.EST","2018","YR2018","1.238797"
Anguilla,"AIA","Control of Corruption: Estimate","CC.EST","2019","YR2019","1.234392"
