"","year","region","country","FatalitiesName","ConflictsName","Fatalities","Conflicts","Control of Corruption","Government Effectiveness","Political Stability and Absence of Violence/Terrorism","Regulatory Quality","Rule of Law"
"1",2020,"Caribbean","Anguilla",0,2,0,2,1.234392,0.8158239,1.367357,0.8462311,0.3557367
"2",2021,"Caribbean","Anguilla",0,1,0,1,1.234392,0.8158239,1.367357,0.8462311,0.3557367
"3",2018,"Caribbean","Antigua and Barbuda",0,23,0,23,0.2766874,-0.0060096,0.8480138,0.4142161,0.4148062
"4",2019,"Caribbean","Antigua and Barbuda",0,9,0,9,0.2778982,-0.0038697,0.959709,0.4853747,0.4052047
"5",2020,"Caribbean","Antigua and Barbuda",1,11,1,11,0.2778982,-0.0038697,0.959709,0.4853747,0.4052047
"6",2019,"Caribbean","Aruba",0,4,0,4,1.217238,1.029933,1.357372,0.8573601,1.263128
"7",2020,"Caribbean","Aruba",0,6,0,6,1.217238,1.029933,1.357372,0.8573601,1.263128
"8",2018,"Caribbean","Bahamas",0,21,0,21,1.13127,0.5391499,0.8700209,0.1804527,0.096694
"9",2019,"Caribbean","Bahamas",0,8,0,8,1.184628,0.4860963,0.8294795,-0.0483038,0.0765319
"10",2020,"Caribbean","Bahamas",4,11,4,11,1.184628,0.4860963,0.8294795,-0.0483038,0.0765319
"11",2021,"Caribbean","Bahamas",0,3,0,3,1.184628,0.4860963,0.8294795,-0.0483038,0.0765319
"12",2018,"Caribbean","Barbados",0,3,0,3,1.411579,0.4269727,0.9204867,0.5439218,0.3944808
"13",2020,"Caribbean","Barbados",2,10,2,10,1.261709,0.631425,0.9417337,0.412301,0.3570292
"14",2018,"Caribbean","Caribbean Netherlands",0,2,0,2,,,,,
"15",2020,"Caribbean","Caribbean Netherlands",0,4,0,4,,,,,
"16",2021,"Caribbean","Caribbean Netherlands",0,1,0,1,,,,,
"17",2019,"Caribbean","Cayman Islands",0,1,0,1,0.4661654,1.169394,1.4457,0.9827613,0.7690086
"18",2020,"Caribbean","Cayman Islands",0,3,0,3,0.4661654,1.169394,1.4457,0.9827613,0.7690086
"19",2018,"Caribbean","Cuba",0,16,0,16,0.1654531,-0.2448378,0.6563528,-1.459868,-0.4444182
"20",2019,"Caribbean","Cuba",1,26,1,26,0.0432405,-0.1725442,0.613414,-1.486731,-0.3224891
"21",2020,"Caribbean","Cuba",2,129,2,129,0.0432405,-0.1725442,0.613414,-1.486731,-0.3224891
"22",2021,"Caribbean","Cuba",0,12,0,12,0.0432405,-0.1725442,0.613414,-1.486731,-0.3224891
"23",2018,"Caribbean","Curacao",0,9,0,9,,,,,
"24",2019,"Caribbean","Curacao",0,9,0,9,,,,,
"25",2020,"Caribbean","Curacao",0,19,0,19,,,,,
"26",2018,"Caribbean","Dominica",0,10,0,10,0.5458227,-0.2895034,1.102953,0.084885,0.671662
"27",2019,"Caribbean","Dominica",1,19,1,19,0.5262952,-0.2612646,1.073779,0.1019005,0.6863382
"28",2020,"Caribbean","Dominica",0,6,0,6,0.5262952,-0.2612646,1.073779,0.1019005,0.6863382
"29",2018,"Caribbean","Dominican Republic",9,59,9,59,-0.7564989,-0.4002573,0.0322322,-0.0654638,-0.3792109
"30",2019,"Caribbean","Dominican Republic",11,42,11,42,-0.763217,-0.357478,0.0189059,-0.0535924,-0.3476975
"31",2020,"Caribbean","Dominican Republic",8,95,8,95,-0.763217,-0.357478,0.0189059,-0.0535924,-0.3476975
"32",2021,"Caribbean","Dominican Republic",0,5,0,5,-0.763217,-0.357478,0.0189059,-0.0535924,-0.3476975
"33",2018,"Caribbean","Grenada",0,9,0,9,0.3766035,-0.2529525,0.9924276,-0.289589,0.2296057
"34",2019,"Caribbean","Grenada",0,1,0,1,0.3397682,-0.1359288,0.959709,-0.3131911,0.1758633
"35",2020,"Caribbean","Grenada",0,4,0,4,0.3397682,-0.1359288,0.959709,-0.3131911,0.1758633
"36",2018,"Caribbean","Guadeloupe",0,35,0,35,,,,,
"37",2019,"Caribbean","Guadeloupe",0,10,0,10,,,,,
"38",2020,"Caribbean","Guadeloupe",0,28,0,28,,,,,
"39",2021,"Caribbean","Guadeloupe",0,9,0,9,,,,,
"40",2018,"Caribbean","Haiti",141,253,141,253,-1.280559,-1.909054,-0.6305112,-1.260932,-1.051864
"41",2019,"Caribbean","Haiti",317,543,317,543,-1.339183,-2.015388,-0.7778878,-1.260672,-0.9711014
"42",2020,"Caribbean","Haiti",329,423,329,423,-1.339183,-2.015388,-0.7778878,-1.260672,-0.9711014
"43",2021,"Caribbean","Haiti",37,125,37,125,-1.339183,-2.015388,-0.7778878,-1.260672,-0.9711014
"44",2018,"Caribbean","Jamaica",107,117,107,117,-0.1815255,0.4967112,0.4406607,0.2024362,-0.2307076
"45",2019,"Caribbean","Jamaica",174,149,174,149,-0.0565556,0.4958208,0.4143164,0.167549,-0.3125736
"46",2020,"Caribbean","Jamaica",159,158,159,158,-0.0565556,0.4958208,0.4143164,0.167549,-0.3125736
"47",2021,"Caribbean","Jamaica",28,26,28,26,-0.0565556,0.4958208,0.4143164,0.167549,-0.3125736
"48",2018,"Caribbean","Martinique",0,54,0,54,1.238797,1.108839,0.9831379,1.193829,0.8757794
"49",2019,"Caribbean","Martinique",0,15,0,15,1.234392,1.089055,0.7850212,1.228176,0.6005772
"50",2020,"Caribbean","Martinique",0,32,0,32,1.234392,1.089055,0.7850212,1.228176,0.6005772
"51",2021,"Caribbean","Martinique",0,7,0,7,1.234392,1.089055,0.7850212,1.228176,0.6005772
"52",2020,"Caribbean","Montserrat",0,1,0,1,,,,,
"53",2018,"Caribbean","Puerto Rico",98,189,98,189,0.0401916,-0.156924,0.2857295,0.9463025,0.5863347
"54",2019,"Caribbean","Puerto Rico",140,216,140,216,0.013093,-0.1642736,0.1233831,0.7319591,0.5873398
"55",2020,"Caribbean","Puerto Rico",109,179,109,179,0.013093,-0.1642736,0.1233831,0.7319591,0.5873398
"56",2021,"Caribbean","Puerto Rico",21,35,21,35,0.013093,-0.1642736,0.1233831,0.7319591,0.5873398
"57",2018,"Caribbean","Saint Kitts and Nevis",1,4,1,4,0.4526668,0.5514148,0.7035999,0.5113763,0.559788
"58",2020,"Caribbean","Saint Kitts and Nevis",0,2,0,2,0.3850662,0.5425926,0.7282763,0.5020854,0.4797953
"59",2018,"Caribbean","Saint Lucia",0,1,0,1,0.5362905,0.1956703,1.013817,0.2874379,0.6054458
"60",2019,"Caribbean","Saint Lucia",0,3,0,3,0.524743,0.2258496,0.9261938,0.2349653,0.5691295
"61",2020,"Caribbean","Saint Lucia",0,10,0,10,0.524743,0.2258496,0.9261938,0.2349653,0.5691295
"62",2020,"Caribbean","Saint Vincent and Grenadines",2,1,2,1,0.7815565,0.2258496,0.959709,0.2122325,0.4463562
