"","region","country","Control of Corruption","Government Effectiveness","Political Stability and Absence of Violence/Terrorism","Regulatory Quality","Rule of Law","Conflicts","Fatalities","year"
"1",1,6,1.234392,0.8158239,1.367357,0.8462311,0.3557367,2,0,2020
"2",1,6,1.234392,0.8158239,1.367357,0.8462311,0.3557367,1,0,2021
"3",1,7,0.2766874,-0.0060096,0.8480138,0.4142161,0.4148062,23,0,2018
"4",1,7,0.2778982,-0.0038697,0.959709,0.4853747,0.4052047,9,0,2019
"5",1,7,0.2778982,-0.0038697,0.959709,0.4853747,0.4052047,11,1,2020
"6",1,10,1.217238,1.029933,1.357372,0.8573601,1.263128,4,0,2019
"7",1,10,1.217238,1.029933,1.357372,0.8573601,1.263128,6,0,2020
"8",1,13,1.13127,0.5391499,0.8700209,0.1804527,0.096694,21,0,2018
"9",1,13,1.184628,0.4860963,0.8294795,-0.0483038,0.0765319,8,0,2019
"10",1,13,1.184628,0.4860963,0.8294795,-0.0483038,0.0765319,11,4,2020
"11",1,13,1.184628,0.4860963,0.8294795,-0.0483038,0.0765319,3,0,2021
"12",1,18,1.411579,0.4269727,0.9204867,0.5439218,0.3944808,3,0,2018
"13",1,18,1.261709,0.631425,0.9417337,0.412301,0.3570292,10,2,2020
"14",1,32,,,,,,2,0,2018
"15",1,32,,,,,,4,0,2020
"16",1,32,,,,,,1,0,2021
"17",1,33,0.4661654,1.169394,1.4457,0.9827613,0.7690086,1,0,2019
"18",1,33,0.4661654,1.169394,1.4457,0.9827613,0.7690086,3,0,2020
"19",1,41,0.1654531,-0.2448378,0.6563528,-1.459868,-0.4444182,16,0,2018
"20",1,41,0.0432405,-0.1725442,0.613414,-1.486731,-0.3224891,26,1,2019
"21",1,41,0.0432405,-0.1725442,0.613414,-1.486731,-0.3224891,129,2,2020
"22",1,41,0.0432405,-0.1725442,0.613414,-1.486731,-0.3224891,12,0,2021
"23",1,42,,,,,,9,0,2018
"24",1,42,,,,,,9,0,2019
"25",1,42,,,,,,19,0,2020
"26",1,48,0.5458227,-0.2895034,1.102953,0.084885,0.671662,10,0,2018
"27",1,48,0.5262952,-0.2612646,1.073779,0.1019005,0.6863382,19,1,2019
"28",1,48,0.5262952,-0.2612646,1.073779,0.1019005,0.6863382,6,0,2020
